1495332083
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.0  142.9    0.0  998.9  0.0  0.0    0.0    0.2   0   3 c0t60060E8007DC48000030DC48000013A6d0
    0.0  100.9    0.0  582.2  0.0  0.0    0.0    0.2   0   2 c0t60060E8007DC48000030DC48000013C8d0
    0.0   10.0    0.0 1279.2  0.0  0.0    0.0    0.4   0   0 c0t60060E8007DC48000030DC48000013D4d0
    0.0  166.9    0.0 1096.3  0.0  0.0    0.0    0.2   0   3 c0t60060E8007DC48000030DC48000013B7d0
    0.0   83.9    0.0  533.2  0.0  0.0    0.0    0.2   0   2 c0t60060E8007DC48000030DC48000013DFd0
    0.0  122.9    0.0  670.6  0.0  0.0    0.0    0.2   0   2 c0t60060E8007DC48000030DC48000013DBd0
    0.0   72.0    0.0  537.2  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC48000013B2d0
    0.0  220.9    0.0  753.5  0.0  0.0    0.0    0.2   0   4 c0t60060E8007DC48000030DC48000013B6d0
    0.0  197.9    0.0 1297.7  0.0  0.0    0.0    0.2   0   4 c0t60060E8007DC48000030DC480000139Ed0
    0.0   50.0    0.0  178.9  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC48000013D7d0
1495332088
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.0    2.0    0.0   32.6  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC480000107Ed0
    0.0   25.4    0.0  410.5  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC4800001081d0
    0.0    4.1    0.0   52.9  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC4800001074d0
    0.0    9.2    0.0   81.9  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000004F1d0
    0.0    9.2    0.0   81.9  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013A6d0
    0.0    8.1    0.0  130.2  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013BBd0
    0.0    8.1    0.0   81.9  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013B7d0
    0.0   19.3    0.0  410.5  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC4800001394d0
    0.0    8.1    0.0  130.2  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013BFd0
    0.0    4.1    0.0    4.1  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013DFd0
    0.0    3.1    0.0   52.9  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013F5d0
    0.0    2.0    0.0   32.6  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013FDd0
    0.0    2.0    0.0   32.6  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013B2d0
    0.0    4.1    0.0   65.1  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013CAd0
    0.0   25.4    0.0  410.5  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC48000013D6d0
    0.0   39.7    0.0  783.9  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC48000013A0d0
    0.0    4.1    0.0   65.1  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013CFd0
    0.0    3.1    0.0   52.9  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013CDd0
    0.0    4.1    0.0    4.1  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013E0d0
    0.0   46.8    0.0  783.9  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC48000013AFd0
    0.0    4.1    0.0    4.1  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC48000013DEd0
    0.0   49.9    0.0  783.9  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC48000013A9d0
1495332089
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
1495332090
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.0   61.0    0.0  813.8  0.0  0.3    0.0    5.4   0  29 c0t5000CCA0546345D8d0
